"node","time","Ssows","Isows","Sgilts","Igilts","Spiglets","Ipiglets","Sgrowers","Igrowers","Sfinish","Ifinish","pentype","section","countdown","phi"
194,730,0,1,0,0,0,13,0,0,0,0,7,4,99999,0
195,730,0,1,0,0,0,20,0,0,0,0,7,4,99999,0
196,730,0,1,0,0,0,11,0,0,0,0,7,4,99999,0
197,730,0,0,0,0,0,0,0,0,0,0,7,4,99999,0
198,730,0,0,0,0,0,0,0,0,0,0,7,4,99999,0
199,730,0,0,0,0,0,0,0,0,0,0,7,4,99999,0
200,730,0,0,0,0,0,0,0,0,0,0,7,4,99999,0
201,730,0,0,0,0,0,0,0,0,0,0,7,4,99999,0
202,730,0,0,0,0,0,0,0,0,0,0,7,4,99999,0
203,730,0,1,0,0,0,8,0,0,0,0,7,5,99999,0
204,730,0,1,0,0,0,8,0,0,0,0,7,5,99999,0
205,730,0,1,0,0,0,11,0,0,0,0,7,5,99999,0
206,730,0,1,0,0,0,16,0,0,0,0,7,5,99999,0
207,730,0,1,0,0,0,16,0,0,0,0,7,5,99999,0
208,730,0,1,0,0,0,11,0,0,0,0,7,5,99999,0
209,730,0,1,0,0,0,11,0,0,0,0,7,5,99999,0
210,730,0,1,0,0,0,19,0,0,0,0,7,5,99999,0
211,730,0,1,0,0,0,15,0,0,0,0,7,5,99999,0
212,730,0,1,0,0,0,15,0,0,0,0,7,5,99999,0
213,730,0,1,0,0,0,16,0,0,0,0,7,5,99999,0
214,730,0,1,0,0,0,18,0,0,0,0,7,5,99999,0
215,730,0,1,0,0,0,19,0,0,0,0,7,5,99999,0
216,730,0,1,0,0,0,10,0,0,0,0,7,5,99999,0
217,730,0,1,0,0,0,20,0,0,0,0,7,5,99999,0
218,730,0,1,0,0,0,11,0,0,0,0,7,5,99999,0
219,730,0,1,0,0,0,18,0,0,0,0,7,5,99999,0
220,730,0,1,0,0,0,12,0,0,0,0,7,5,99999,0
221,730,0,1,0,0,0,21,0,0,0,0,7,5,99999,0
222,730,0,0,0,0,0,0,0,0,0,0,7,5,99999,0
223,730,0,0,0,0,0,0,0,0,0,0,7,5,99999,0
224,730,0,0,0,0,0,0,0,0,0,0,7,5,99999,0
225,730,0,0,0,0,0,0,0,0,0,0,7,5,99999,0
226,730,0,0,0,0,0,0,0,0,0,0,7,5,99999,0
227,730,0,0,0,0,0,0,0,0,0,0,7,5,99999,0
228,730,0,0,0,0,0,0,0,0,0,0,7,5,99999,0
229,730,0,1,0,0,0,17,0,0,0,0,7,6,99999,0
230,730,0,1,0,0,0,16,0,0,0,0,7,6,99999,0
231,730,0,1,0,0,0,14,0,0,0,0,7,6,99999,0
